Data do leilуo;Tэtulo;Tipo de leilуo;Volta;Data de liquidaчуo;Data de vencimento;Oferta;Taxa mщdia;Taxa de corte;Venda;Financeiro (R$);Venda para Bacen;Financeiro para Bacen (R$)
31/10/2019;LFT;Venda;1.к volta;01/11/2019;01/03/2026;1.000.000;0,018;0,0187;1.000.000;10.381.447.111,81;0;0
31/10/2019;LFT;Venda;2.к volta;01/11/2019;01/03/2026;50.000;0,018;0,018;24.891;258.404.601,71;0;0
31/10/2019;LTN;Venda;1.к volta;01/11/2019;01/04/2020;1.000.000;4,4709;4,4765;1.000.000;982.281.628,65;0;0
31/10/2019;LTN;Venda;2.к volta;04/11/2019;01/04/2020;200.000;4,4709;4,4709;14.909;14.647.379,23;0;0
31/10/2019;LTN;Venda;1.к volta;01/11/2019;01/07/2023;1.500.000;5,6675;5,6738;1.500.000;1.227.088.215,26;12.200.000;9.980.317.482,00
31/10/2019;LTN;Venda;2.к volta;04/11/2019;01/07/2023;300.000;5,6675;5,6675;283.628;232.075.283,38;0;0
31/10/2019;LTN;Venda;1.к volta;01/11/2019;01/10/2021;1.500.000;4,8194;4,8229;1.500.000;1.371.367.957,66;16.400.000;14.993.623.002,00
31/10/2019;LTN;Venda;2.к volta;04/11/2019;01/10/2021;300.000;4,8194;4,8194;267.265;244.391.835,59;0;0
31/10/2019;NTN-F;Venda;1.к volta;01/11/2019;01/01/2025;500.000;5,9565;5,9589;250.300;301.609.947,42;0;0
31/10/2019;NTN-F;Venda;2.к volta;04/11/2019;01/01/2025;100.000;5,9565;5,9565;94.540;113.946.572,32;0;0
31/10/2019;NTN-F;Venda;1.к volta;01/11/2019;01/01/2029;300.000;6,504;6,5134;300.000;379.519.588,84;0;0
31/10/2019;NTN-F;Venda;2.к volta;04/11/2019;01/01/2029;60.000;6,504;6,504;56.718;71.769.938,48;0;0
31/10/2017;NTN-B;Venda;1.к volta;01/11/2017;15/05/2035;150.000;5,15;5,15;35.700;121.261.373,45;0;0
31/10/2017;NTN-B;Venda;1.к volta;01/11/2017;15/05/2055;150.000;5,2175;5,2175;8.700;30.380.601,58;0;0
31/10/2017;NTN-B;Venda;1.к volta;01/11/2017;15/08/2022;300.000;4,5899;4,5899;211.300;683.791.093,33;0;0
31/10/2017;NTN-B;Venda;2.к volta;01/11/2017;15/08/2022;42.260;4,5899;4,5899;35.874;116.092.388,44;0;0
31/10/2017;NTN-B;Venda;1.к volta;01/11/2017;15/08/2026;300.000;4,935;4,935;88.700;291.088.596,81;0;0
31/10/2017;NTN-B;Venda;2.к volta;01/11/2017;15/08/2026;17.740;4,935;4,935;5.689;18.669.707,17;0;0
31/10/2013;LTN;Venda;1.к volta;01/11/2013;01/04/2014;2.500.000;10,0989;10,11;2.500.000;2.404.516.892,15;0;0
31/10/2013;LTN;Venda;2.к volta;01/11/2013;01/04/2014;500.000;10,0989;10,0989;0;0;0;0
31/10/2013;LTN;Venda;1.к volta;01/11/2013;01/07/2015;2.000.000;11,0712;11,08;2.000.000;1.681.709.296,60;0;0
31/10/2013;LTN;Venda;2.к volta;01/11/2013;01/07/2015;400.000;11,0712;11,0712;0;0;0;0
31/10/2013;LTN;Venda;1.к volta;01/11/2013;01/07/2017;1.500.000;11,6408;11,6499;1.500.000;1.003.895.229,37;0;0
31/10/2013;LTN;Venda;2.к volta;01/11/2013;01/07/2017;300.000;11,6408;11,6408;0;0;0;0
31/10/2007;LTN;Venda;1.к volta;01/11/2007;01/01/2010;3.000.000;11,6276;11,634;3.000.000;2.365.892.851,62;0;0
31/10/2007;LTN;Venda;2.к volta;01/11/2007;01/01/2010;450.000;11,6276;11,6276;250.000;197.157.737,74;0;0
31/10/2007;LTN;Venda;1.к volta;01/11/2007;01/07/2008;1.500.000;11,264;11,264;1.500.000;1.399.935.000,00;0;0
31/10/2007;LTN;Venda;2.к volta;01/11/2007;01/07/2008;225.000;11,264;11,264;36.000;33.598.440,00;0;0
31/10/2007;NTN-F;Venda;1.к volta;01/11/2007;01/01/2011;300.000;11,789;11,794;300.000;296.839.450,00;0;0
31/10/2007;NTN-F;Venda;2.к volta;01/11/2007;01/01/2011;45.000;11,789;11,789;3.750;3.710.493,12;0;0
31/10/2007;NTN-F;Venda;1.к volta;01/11/2007;01/01/2013;300.000;0;0;0;0;0;0
